kNum, Type,     Add Time,  Sum, Sum Time,    Type     , Add Time, Sum, Sum Time,
-------------------------------------------------------------------------------------------------------,
15,Linked  List,0.002852,146996,0.000205,Dynamic Array,0.001896,148630,0.00034,
16,Linked  List,0.004593,294187,0.000251,Dynamic Array,0.003611,296170,0.000664,
17,Linked  List,0.009782,589161,0.000562,Dynamic Array,0.007215,591439,0.001358,
18,Linked  List,0.018671,1179811,0.001168,Dynamic Array,0.014259,1180567,0.002669,
19,Linked  List,0.041956,2361565,0.004783,Dynamic Array,0.036256,2359565,0.005355,
20,Linked  List,0.076202,4721412,0.00491,Dynamic Array,0.058298,4716298,0.010789,
21,Linked  List,0.152789,9442436,0.009892,Dynamic Array,0.112928,9438278,0.021475,
22,Linked  List,0.366948,18888096,0.045634,Dynamic Array,0.33134,18867059,0.087099,
23,Linked  List,0.716587,37761723,0.041393,Dynamic Array,0.479111,37749828,0.092728,
24,Linked  List,1.41749,75507809,0.080928,Dynamic Array,1.15612,75498385,0.29514,
25,Linked  List,3.52378,151005076,0.21371,Dynamic Array,2.05564,151002351,0.362235,
26,Linked  List,5.82439,302024357,0.40304,Dynamic Array,3.58635,301949244,0.683254,
27,Linked  List,10.2789,604021977,0.685012,Dynamic Array,7.79109,603959311,1.37458,
